date,hospital_id,ward_code,wait_per_triage,age,bed_impact_score,arrival_source_ambulance,arrival_source_referral,arrival_source_self,arrival_source_transfer,outcome_death,outcome_discharged,outcome_readmit_30d,outcome_transferred,sex_F,sex_M,base_beds,effective_capacity,admissions,staffing_index,discharge_rate_per_bed,occupancy_lag1,occupancy_lag7,overflow_lag1,overflow_lag7,discharges_lag1,discharges_lag7,admission_rate_per_bed_lag1,admission_rate_per_bed_lag7,avg_wait_minutes_lag1,avg_wait_minutes_lag7,occupancy_rate_lag1,occupancy_rate_lag7
2022-11-04,3,MED,75.0,66.375,,0,0,8,0,0,7,1,0,3,5,50,58,28,1.028,0.5,58.0,58.0,18.0,13.0,22.0,14.0,0.64,0.9,120.0,161.0,1.0,1.0
2022-11-04,3,SURG,75.0,68.5,,0,2,4,2,0,8,0,0,4,4,40,46,15,1.004,0.4,42.0,42.0,2.0,2.0,20.0,17.0,0.4,0.725,84.0,157.0,0.913,0.913
2022-11-04,4,ED,74.82222222222221,48.583333333333336,0.0,1,1,9,1,0,11,0,1,5,7,30,34,64,0.963,1.033,34.0,34.0,38.0,40.0,28.0,13.0,2.067,2.267,309.0,322.0,1.0,1.0
2022-11-04,4,ICU,75.0,47.333333333333336,,1,0,4,1,1,5,0,0,2,4,20,23,6,1.012,0.4,23.0,22.0,7.0,2.0,8.0,1.0,0.6,0.5,184.0,130.0,1.0,0.957
2022-11-04,4,MED,75.0,69.875,,1,1,6,0,0,7,1,0,2,6,50,58,31,1.055,0.48,58.0,50.0,18.0,0.0,18.0,13.0,0.56,0.7,181.0,45.0,1.0,1.0
2022-11-04,4,SURG,75.0,46.125,,1,1,5,1,0,8,0,0,4,4,40,40,22,1.03,0.6,42.0,39.0,2.0,0.0,17.0,7.0,0.45,0.625,129.0,74.0,0.913,0.975
2022-11-04,5,ED,72.65833333333333,55.0,0.0,3,2,7,0,0,9,0,3,5,7,30,34,63,1.018,1.1,34.0,34.0,23.0,24.0,34.0,16.0,1.767,1.767,140.0,163.0,1.0,1.0
2022-11-04,5,ICU,75.0,63.375,,2,1,5,0,0,8,0,0,6,2,20,23,8,0.997,0.25,23.0,23.0,4.0,3.0,4.0,2.0,0.25,0.6,167.0,167.0,1.0,1.0
2022-11-04,5,MED,75.0,61.125,,1,3,4,0,0,7,1,0,5,3,50,58,38,0.972,0.48,58.0,54.0,32.0,4.0,28.0,7.0,1.04,0.68,234.0,167.0,1.0,0.931
2022-11-04,5,SURG,75.0,55.875,,0,1,7,0,0,7,1,0,4,4,40,46,24,0.973,0.6,46.0,42.0,9.0,2.0,17.0,8.0,0.5,0.625,93.0,123.0,1.0,0.913
2022-11-05,1,ED,78.54166666666667,48.0,0.0,2,1,9,0,0,11,0,1,3,9,30,34,44,0.922,1.1,34.0,34.0,21.0,35.0,33.0,31.0,1.667,2.067,249.0,223.0,1.0,1.0
2022-11-05,1,ICU,75.0,49.25,,4,2,2,0,1,7,0,0,5,3,20,23,9,0.903,0.2,23.0,23.0,6.0,7.0,9.0,6.0,0.6,0.6,133.0,197.0,1.0,1.0
2022-11-05,1,MED,75.0,59.375,,1,0,6,1,0,8,0,0,4,4,50,58,39,0.956,0.38,58.0,57.0,10.0,7.0,20.0,26.0,0.44,0.5,178.0,83.0,1.0,0.983
2022-11-05,1,SURG,75.0,72.75,,1,3,3,1,0,8,0,0,5,3,40,46,24,0.974,0.35,46.0,39.0,7.0,0.0,23.0,12.0,0.6,0.45,159.0,82.0,1.0,0.975
2022-11-05,2,ED,64.78750000000001,58.166666666666664,0.0,1,1,8,2,0,10,0,2,6,6,30,34,65,0.998,1.1,34.0,34.0,34.0,42.0,33.0,25.0,2.1,2.1,283.0,262.0,1.0,1.0
2022-11-05,2,ICU,75.0,63.857142857142854,,1,0,5,1,1,6,0,0,5,2,20,23,7,0.925,0.2,23.0,19.0,10.0,0.0,4.0,3.0,0.55,0.4,208.0,105.0,1.0,0.95
2022-11-05,2,MED,75.0,48.25,,0,2,4,2,0,8,0,0,6,2,50,58,34,0.96,0.34,58.0,58.0,15.0,15.0,22.0,21.0,0.58,0.56,157.0,153.0,1.0,1.0
2022-11-05,2,SURG,75.0,50.125,,1,1,5,1,0,8,0,0,4,4,40,46,22,0.949,0.5,46.0,46.0,13.0,10.0,10.0,16.0,0.55,0.55,138.0,155.0,1.0,1.0
2022-11-05,3,ED,132.625,51.75,0.0,3,0,6,3,0,12,0,0,4,8,30,34,48,0.93,1.133,34.0,34.0,20.0,21.0,31.0,33.0,1.567,1.667,169.0,233.0,1.0,1.0
2022-11-05,3,ICU,75.0,52.5,,1,3,4,0,0,8,0,0,5,3,20,23,13,0.979,0.4,23.0,23.0,6.0,5.0,5.0,7.0,0.4,0.55,147.0,143.0,1.0,1.0
2022-11-05,3,MED,75.0,59.625,,2,0,5,1,0,8,0,0,3,5,50,58,37,0.95,0.5,58.0,58.0,11.0,11.0,25.0,18.0,0.56,0.42,185.0,162.0,1.0,1.0
2022-11-05,3,SURG,75.0,44.75,,1,1,5,1,0,8,0,0,5,3,40,46,14,1.025,0.3,41.0,36.0,1.0,0.0,16.0,14.0,0.375,0.2,140.0,30.0,0.891,0.9
2022-11-05,4,ED,67.76388888888889,53.833333333333336,0.0,1,2,8,1,0,11,0,1,9,3,30,34,53,0.892,1.133,34.0,34.0,37.0,15.0,31.0,34.0,2.133,1.5,278.0,197.0,1.0,1.0
2022-11-05,4,ICU,75.0,47.0,,2,0,4,0,0,6,0,0,1,5,20,23,6,0.94,0.2,21.0,23.0,1.0,14.0,8.0,6.0,0.3,0.9,140.0,212.0,0.913,1.0
2022-11-05,4,MED,75.0,60.5,,2,3,3,0,0,8,0,0,5,3,50,58,32,0.942,0.36,58.0,58.0,15.0,25.0,24.0,17.0,0.62,0.84,159.0,107.0,1.0,1.0
2022-11-05,4,SURG,75.0,59.0,,1,1,5,1,0,8,0,0,7,1,40,40,17,0.979,0.475,40.0,36.0,0.0,0.0,24.0,21.0,0.55,0.45,65.0,28.0,1.0,0.9
2022-11-05,5,ED,93.99305555555554,51.583333333333336,0.0,0,4,7,1,0,10,0,2,7,5,30,34,48,0.98,1.033,34.0,34.0,34.0,17.0,33.0,31.0,2.1,1.467,300.0,191.0,1.0,1.0
2022-11-05,5,ICU,75.0,39.75,,2,2,4,0,0,8,0,0,4,4,20,23,13,0.922,0.3,23.0,23.0,6.0,5.0,5.0,4.0,0.4,0.3,162.0,186.0,1.0,1.0
2022-11-05,5,MED,75.0,69.625,,0,0,5,3,0,8,0,0,3,5,50,58,46,0.978,0.3,58.0,58.0,22.0,12.0,24.0,21.0,0.76,0.58,205.0,166.0,1.0,1.0
2022-11-05,5,SURG,75.0,59.25,,1,0,7,0,0,8,0,0,3,5,40,46,17,0.924,0.525,46.0,42.0,6.0,2.0,24.0,16.0,0.6,0.4,133.0,114.0,1.0,0.913
2022-11-06,1,ED,96.20972222222223,49.25,0.0,4,1,5,2,0,8,0,4,6,6,30,34,55,1.007,1.1,34.0,34.0,15.0,39.0,33.0,28.0,1.467,2.1,213.0,275.0,1.0,1.0
2022-11-06,1,ICU,75.0,56.166666666666664,,1,0,4,1,0,6,0,0,3,3,20,23,6,0.931,0.2,23.0,23.0,8.0,11.0,4.0,2.0,0.45,0.5,220.0,214.0,1.0,1.0
2022-11-06,1,MED,75.0,73.875,,0,1,7,0,0,7,1,0,2,6,50,58,17,0.96,0.36,58.0,58.0,28.0,14.0,19.0,27.0,0.78,0.68,190.0,197.0,1.0,1.0
2022-11-06,1,SURG,75.0,51.5,,3,0,5,0,0,8,0,0,5,3,40,46,12,0.984,0.425,46.0,43.0,16.0,3.0,14.0,16.0,0.6,0.5,209.0,146.0,1.0,0.935
2022-11-06,2,ED,93.73194444444444,45.5,0.0,1,1,6,4,0,11,0,1,5,7,30,34,51,0.978,0.8,34.0,34.0,36.0,22.0,33.0,32.0,2.167,1.667,205.0,264.0,1.0,1.0
2022-11-06,2,ICU,75.0,55.142857142857146,,1,2,3,1,1,6,0,0,5,2,20,23,7,0.95,0.1,23.0,23.0,6.0,7.0,4.0,4.0,0.35,0.6,205.0,172.0,1.0,1.0
2022-11-06,2,MED,75.0,62.25,,1,2,3,2,0,7,1,0,4,4,50,50,18,0.928,0.52,58.0,58.0,25.0,14.0,17.0,22.0,0.68,0.56,155.0,218.0,1.0,1.0
2022-11-06,2,SURG,75.0,45.375,,2,1,5,0,0,8,0,0,6,2,40,46,15,0.908,0.45,46.0,46.0,8.0,12.0,20.0,16.0,0.55,0.55,199.0,159.0,1.0,1.0
2022-11-06,3,ED,79.1388888888889,55.833333333333336,0.0,5,1,5,1,0,11,0,1,6,6,30,34,50,0.932,0.833,34.0,34.0,18.0,30.0,34.0,29.0,1.6,1.833,271.0,247.0,1.0,1.0
2022-11-06,3,ICU,75.0,48.42857142857143,,1,1,3,2,0,7,0,0,5,2,20,23,7,0.921,0.2,23.0,23.0,8.0,10.0,8.0,3.0,0.65,0.5,199.0,168.0,1.0,1.0
2022-11-06,3,MED,75.0,53.25,,2,2,3,1,0,8,0,0,5,3,50,58,40,0.912,0.4,58.0,58.0,20.0,13.0,25.0,16.0,0.74,0.42,256.0,196.0,1.0,1.0
2022-11-06,3,SURG,75.0,60.5,,1,0,6,1,0,8,0,0,4,4,40,46,16,0.922,0.3,43.0,45.0,3.0,5.0,12.0,11.0,0.35,0.5,111.0,172.0,0.935,0.978
2022-11-06,4,ED,76.77499999999999,63.25,0.0,1,3,6,2,0,10,0,2,7,5,30,34,53,0.903,1.067,34.0,34.0,23.0,37.0,34.0,28.0,1.767,2.033,205.0,316.0,1.0,1.0
2022-11-06,4,ICU,75.0,62.5,,1,1,6,0,0,8,0,0,3,5,20,23,8,0.92,0.2,23.0,23.0,3.0,6.0,4.0,5.0,0.3,0.4,163.0,114.0,1.0,1.0
2022-11-06,4,MED,75.0,47.5,,0,3,3,2,0,8,0,0,4,4,50,58,29,0.937,0.4,58.0,58.0,22.0,19.0,18.0,18.0,0.64,0.58,184.0,197.0,1.0,1.0
2022-11-06,4,SURG,75.0,47.25,,2,0,5,1,0,8,0,0,5,3,40,46,16,0.974,0.325,38.0,46.0,0.0,12.0,19.0,9.0,0.425,0.625,44.0,175.0,0.95,1.0
2022-11-06,5,ED,41.875,51.166666666666664,0.0,2,2,7,1,0,10,0,2,7,5,30,34,43,0.925,1.067,34.0,34.0,21.0,41.0,31.0,27.0,1.6,2.133,194.0,286.0,1.0,1.0
2022-11-06,5,ICU,75.0,49.714285714285715,,0,0,7,0,0,7,0,0,5,2,20,23,7,0.926,0.35,23.0,23.0,10.0,12.0,6.0,5.0,0.65,0.7,136.0,189.0,1.0,1.0
2022-11-06,5,MED,75.0,62.25,,1,0,7,0,0,8,0,0,3,5,50,58,40,0.922,0.38,58.0,58.0,39.0,13.0,15.0,25.0,0.92,0.6,208.0,133.0,1.0,1.0
2022-11-06,5,SURG,75.0,56.375,,1,3,3,1,0,7,1,0,5,3,40,46,17,0.959,0.375,42.0,40.0,2.0,0.0,21.0,18.0,0.425,0.4,99.0,54.0,0.913,1.0
2022-11-07,1,ED,67.53055555555555,51.0,0.0,2,1,8,1,0,10,0,2,8,4,30,34,47,1.0,0.933,34.0,34.0,26.0,26.0,33.0,34.0,1.833,1.867,235.0,227.0,1.0,1.0
2022-11-07,1,ICU,75.0,53.5,,2,1,5,0,0,8,0,0,4,4,20,23,13,1.036,0.3,23.0,23.0,5.0,12.0,4.0,4.0,0.3,0.65,122.0,227.0,1.0,1.0
2022-11-07,1,MED,75.0,75.375,,1,2,5,0,0,8,0,0,5,3,50,58,40,0.962,0.54,57.0,58.0,7.0,22.0,18.0,20.0,0.34,0.68,133.0,122.0,0.983,1.0
2022-11-07,1,SURG,75.0,55.125,,0,3,5,0,0,8,0,0,5,3,40,46,32,1.003,0.375,41.0,46.0,1.0,24.0,17.0,17.0,0.3,0.95,96.0,194.0,0.891,1.0
2022-11-07,2,ED,83.6111111111111,51.416666666666664,0.0,2,3,7,0,0,11,0,1,9,3,30,34,67,1.011,1.067,34.0,34.0,31.0,16.0,24.0,30.0,1.7,1.4,263.0,178.0,1.0,1.0
2022-11-07,2,ICU,75.0,43.75,,1,3,2,2,0,8,0,0,4,4,20,23,12,1.017,0.15,23.0,23.0,8.0,12.0,2.0,4.0,0.35,0.65,192.0,172.0,1.0,1.0
2022-11-07,2,MED,75.0,49.0,,3,2,3,0,0,8,0,0,4,4,50,58,41,1.001,0.36,50.0,58.0,0.0,27.0,26.0,24.0,0.36,0.86,75.0,203.0,1.0,1.0
2022-11-07,2,SURG,75.0,49.75,,3,0,5,0,0,8,0,0,7,1,40,46,33,0.983,0.4,43.0,46.0,3.0,22.0,18.0,14.0,0.375,0.75,173.0,170.0,0.935,1.0
2022-11-07,3,ED,89.0625,51.083333333333336,0.0,2,4,6,0,0,11,0,1,6,6,30,34,59,0.946,1.133,34.0,34.0,29.0,44.0,25.0,30.0,1.667,2.333,248.0,258.0,1.0,1.0
2022-11-07,3,ICU,75.0,59.75,,2,0,6,0,2,6,0,0,3,5,20,23,13,0.963,0.2,23.0,23.0,6.0,7.0,4.0,7.0,0.35,0.55,199.0,110.0,1.0,1.0
2022-11-07,3,MED,75.0,55.75,,2,3,3,0,0,8,0,0,4,4,50,58,44,0.998,0.36,58.0,58.0,28.0,18.0,20.0,17.0,0.8,0.54,229.0,202.0,1.0,1.0
2022-11-07,3,SURG,75.0,46.75,,0,2,5,1,0,8,0,0,6,2,40,46,23,1.027,0.35,46.0,46.0,7.0,8.0,12.0,20.0,0.4,0.575,201.0,119.0,1.0,1.0
2022-11-07,4,ED,69.22222222222223,47.666666666666664,0.0,2,0,9,1,0,12,0,0,6,6,30,34,53,1.009,1.067,34.0,34.0,25.0,47.0,32.0,29.0,1.767,2.4,223.0,336.0,1.0,1.0
2022-11-07,4,ICU,75.0,58.875,,2,2,4,0,0,8,0,0,4,4,20,23,10,1.023,0.5,23.0,23.0,7.0,6.0,4.0,4.0,0.4,0.35,165.0,182.0,1.0,1.0
2022-11-07,4,MED,75.0,64.375,,1,1,5,1,0,7,1,0,3,5,50,58,37,1.007,0.32,58.0,58.0,17.0,33.0,20.0,20.0,0.58,0.9,168.0,138.0,1.0,1.0
2022-11-07,4,SURG,75.0,56.625,,1,0,7,0,0,8,0,0,4,4,40,46,22,0.96,0.25,41.0,46.0,1.0,8.0,13.0,16.0,0.4,0.45,118.0,218.0,0.891,1.0
2022-11-07,5,ED,79.9375,56.333333333333336,0.0,5,1,4,2,0,11,0,1,5,7,30,34,44,1.035,1.067,34.0,34.0,15.0,34.0,32.0,30.0,1.433,2.0,167.0,263.0,1.0,1.0
2022-11-07,5,ICU,75.0,61.0,,1,1,5,0,0,7,0,0,2,5,20,23,7,0.969,0.2,23.0,23.0,3.0,13.0,7.0,4.0,0.35,0.7,107.0,224.0,1.0,1.0
2022-11-07,5,MED,75.0,59.625,,2,2,3,1,0,8,0,0,4,4,50,58,43,1.017,0.44,58.0,58.0,29.0,30.0,19.0,15.0,0.8,0.74,261.0,191.0,1.0,1.0
2022-11-07,5,SURG,75.0,59.25,,1,1,6,0,0,8,0,0,6,2,40,46,30,0.965,0.4,44.0,46.0,4.0,12.0,15.0,12.0,0.425,0.6,92.0,161.0,0.957,1.0
2022-11-08,1,ED,61.975,55.166666666666664,0.0,4,1,4,3,0,12,0,0,6,6,30,34,42,0.944,0.967,34.0,34.0,23.0,29.0,28.0,30.0,1.567,1.833,203.0,257.0,1.0,1.0
2022-11-08,1,ICU,75.0,45.625,,2,1,4,1,1,7,0,0,5,3,20,23,17,0.973,0.25,23.0,23.0,10.0,5.0,6.0,9.0,0.65,0.55,204.0,181.0,1.0,1.0
2022-11-08,1,MED,75.0,55.625,,2,1,5,0,0,8,0,0,3,5,50,58,32,0.972,0.24,58.0,58.0,20.0,28.0,27.0,24.0,0.8,0.88,153.0,200.0,1.0,1.0
2022-11-08,1,SURG,75.0,50.25,,3,0,2,3,0,8,0,0,3,5,40,46,32,0.974,0.4,46.0,46.0,18.0,8.0,15.0,13.0,0.8,0.375,141.0,106.0,1.0,1.0
2022-11-08,2,ED,120.7,55.166666666666664,0.0,2,3,6,1,0,12,0,0,7,5,30,34,71,1.072,0.833,34.0,34.0,39.0,30.0,32.0,28.0,2.233,1.8,255.0,223.0,1.0,1.0
2022-11-08,2,ICU,75.0,44.25,,1,1,5,1,0,8,0,0,4,4,20,23,8,0.98,0.35,23.0,23.0,12.0,11.0,3.0,6.0,0.6,0.7,222.0,201.0,1.0,1.0
2022-11-08,2,MED,75.0,46.5,,1,1,5,1,0,8,0,0,4,4,50,58,40,1.045,0.46,58.0,58.0,23.0,31.0,18.0,13.0,0.82,0.72,209.0,204.0,1.0,1.0
2022-11-08,2,SURG,75.0,44.75,,3,1,4,0,0,7,1,0,4,4,40,46,20,0.967,0.425,46.0,46.0,20.0,18.0,16.0,14.0,0.825,0.65,217.0,164.0,1.0,1.0
2022-11-08,3,ED,130.82638888888889,49.583333333333336,0.0,3,2,7,0,0,12,0,0,7,5,30,34,67,1.028,1.133,34.0,34.0,29.0,11.0,34.0,30.0,1.967,1.233,248.0,249.0,1.0,1.0
2022-11-08,3,ICU,75.0,55.625,,1,3,3,1,0,8,0,0,5,3,20,23,13,1.057,0.05,23.0,23.0,12.0,12.0,4.0,3.0,0.65,0.6,148.0,228.0,1.0,1.0
2022-11-08,3,MED,75.0,56.875,,2,0,5,1,0,8,0,0,3,5,50,58,36,1.025,0.48,58.0,58.0,34.0,24.0,18.0,18.0,0.88,0.68,164.0,219.0,1.0,1.0
2022-11-08,3,SURG,75.0,49.25,,2,0,6,0,0,8,0,0,4,4,40,46,20,1.003,0.475,46.0,42.0,15.0,2.0,14.0,22.0,0.575,0.45,162.0,158.0,1.0,0.913
2022-11-08,4,ED,60.19027777777777,58.166666666666664,0.0,4,3,4,1,0,12,0,0,8,4,30,34,47,1.041,1.033,34.0,34.0,25.0,29.0,32.0,34.0,1.767,1.967,176.0,265.0,1.0,1.0
2022-11-08,4,ICU,75.0,46.625,,2,0,5,1,1,7,0,0,5,3,20,23,12,1.012,0.5,23.0,23.0,3.0,9.0,10.0,4.0,0.5,0.5,186.0,214.0,1.0,1.0
2022-11-08,4,MED,75.0,69.125,,3,0,5,0,0,8,0,0,4,4,50,58,47,1.005,0.44,58.0,58.0,29.0,34.0,16.0,15.0,0.74,0.82,192.0,233.0,1.0,1.0
2022-11-08,4,SURG,75.0,52.125,,1,0,7,0,0,8,0,0,3,5,40,46,26,1.044,0.475,46.0,46.0,13.0,9.0,10.0,14.0,0.55,0.425,150.0,152.0,1.0,1.0
2022-11-08,5,ED,64.35000000000001,47.583333333333336,0.0,0,2,9,1,0,10,0,2,3,9,30,34,62,0.974,0.867,34.0,34.0,16.0,33.0,32.0,34.0,1.467,2.1,208.0,190.0,1.0,1.0
2022-11-08,5,ICU,75.0,59.0,,4,0,2,0,0,6,0,0,4,2,20,23,6,0.994,0.35,23.0,23.0,6.0,15.0,4.0,2.0,0.35,0.7,198.0,211.0,1.0,1.0
2022-11-08,5,MED,75.0,54.125,,0,0,8,0,0,8,0,0,5,3,50,58,21,1.026,0.38,58.0,58.0,29.0,26.0,22.0,18.0,0.86,0.72,187.0,242.0,1.0,1.0
2022-11-08,5,SURG,75.0,54.875,,1,0,6,1,0,7,1,0,3,5,40,46,26,1.027,0.5,46.0,45.0,18.0,5.0,16.0,17.0,0.75,0.4,147.0,106.0,1.0,0.978
2022-11-09,1,ED,64.39999999999999,49.416666666666664,0.0,3,2,7,0,0,11,0,1,5,7,30,34,49,1.014,0.933,34.0,34.0,17.0,32.0,29.0,29.0,1.4,1.9,200.0,268.0,1.0,1.0
2022-11-09,1,ICU,75.0,50.0,,0,1,4,1,0,6,0,0,4,2,20,23,6,1.032,0.35,23.0,23.0,15.0,4.0,5.0,8.0,0.85,0.45,206.0,195.0,1.0,1.0
2022-11-09,1,MED,75.0,59.625,,1,1,5,1,0,8,0,0,4,4,50,58,46,0.981,0.36,58.0,58.0,28.0,49.0,12.0,23.0,0.64,1.28,240.0,297.0,1.0,1.0
2022-11-09,1,SURG,75.0,43.875,,2,2,3,1,0,7,1,0,4,4,40,46,24,1.056,0.375,46.0,46.0,22.0,11.0,16.0,18.0,0.8,0.575,161.0,173.0,1.0,1.0
2022-11-09,2,ED,86.13888888888887,50.083333333333336,0.0,3,0,9,0,0,12,0,0,8,4,30,34,55,1.023,0.9,34.0,34.0,50.0,16.0,25.0,32.0,2.367,1.467,315.0,226.0,1.0,1.0
2022-11-09,2,ICU,75.0,46.25,,2,3,3,0,0,8,0,0,2,6,20,23,8,0.978,0.3,23.0,23.0,4.0,11.0,7.0,8.0,0.4,0.8,186.0,200.0,1.0,1.0
2022-11-09,2,MED,75.0,59.875,,2,1,5,0,0,8,0,0,3,5,50,58,31,1.0,0.34,58.0,58.0,25.0,18.0,23.0,22.0,0.8,0.64,148.0,149.0,1.0,1.0
2022-11-09,2,SURG,75.0,58.375,,1,1,6,0,0,7,1,0,3,5,40,40,11,1.008,0.475,46.0,46.0,9.0,7.0,17.0,17.0,0.5,0.45,140.0,101.0,1.0,1.0
2022-11-09,3,ED,129.29166666666666,58.083333333333336,0.0,1,3,8,0,0,12,0,0,3,9,30,34,85,0.978,1.033,34.0,34.0,37.0,25.0,34.0,28.0,2.233,1.633,273.0,258.0,1.0,1.0
2022-11-09,3,ICU,75.0,63.375,,0,3,5,0,0,8,0,0,3,5,20,23,14,1.05,0.2,23.0,23.0,15.0,9.0,1.0,8.0,0.65,0.7,176.0,183.0,1.0,1.0
2022-11-09,3,MED,75.0,70.375,,0,3,5,0,0,7,1,0,6,2,50,58,26,1.013,0.26,58.0,58.0,20.0,38.0,24.0,18.0,0.72,0.96,143.0,193.0,1.0,1.0
2022-11-09,3,SURG,75.0,45.375,,1,0,5,2,0,8,0,0,4,4,40,46,14,1.0,0.475,46.0,46.0,7.0,10.0,19.0,19.0,0.5,0.675,171.0,100.0,1.0,1.0
2022-11-09,4,ED,89.45833333333333,63.333333333333336,0.0,3,3,6,0,0,11,0,1,10,2,30,34,64,1.01,0.967,34.0,34.0,20.0,39.0,31.0,27.0,1.567,2.067,213.0,234.0,1.0,1.0
2022-11-09,4,ICU,75.0,50.375,,0,0,8,0,0,8,0,0,4,4,20,23,13,1.032,0.4,23.0,23.0,5.0,13.0,10.0,5.0,0.6,0.75,113.0,155.0,1.0,1.0
2022-11-09,4,MED,75.0,63.75,,1,0,6,1,0,8,0,0,3,5,50,58,45,0.993,0.48,58.0,58.0,33.0,27.0,22.0,15.0,0.94,0.68,221.0,187.0,1.0,1.0
2022-11-09,4,SURG,75.0,52.5,,2,1,4,1,0,8,0,0,3,5,40,46,21,0.995,0.6,46.0,41.0,13.0,1.0,19.0,22.0,0.65,0.425,206.0,153.0,1.0,0.891
2022-11-09,5,ED,105.13333333333333,61.166666666666664,0.0,1,3,8,0,0,11,0,1,6,6,30,34,51,0.956,1.067,34.0,34.0,40.0,25.0,26.0,32.0,2.067,1.767,261.0,200.0,1.0,1.0
2022-11-09,5,ICU,75.0,44.125,,1,1,6,0,0,8,0,0,5,3,20,23,13,0.995,0.15,22.0,23.0,2.0,3.0,7.0,9.0,0.3,0.45,158.0,147.0,0.957,1.0
2022-11-09,5,MED,75.0,56.75,,2,1,3,2,0,8,0,0,4,4,50,58,48,1.009,0.4,58.0,58.0,10.0,33.0,19.0,17.0,0.42,0.84,149.0,203.0,1.0,1.0
2022-11-09,5,SURG,75.0,58.0,,0,2,6,0,0,7,1,0,3,5,40,46,26,1.015,0.3,46.0,46.0,12.0,11.0,20.0,13.0,0.65,0.475,167.0,211.0,1.0,1.0
2022-11-10,1,ED,68.0125,49.083333333333336,0.0,0,2,7,3,0,11,0,1,9,3,30,34,41,0.997,1.067,34.0,34.0,25.0,31.0,28.0,34.0,1.633,2.033,171.0,248.0,1.0,1.0
2022-11-10,1,ICU,75.0,68.875,,1,1,6,0,0,8,0,0,4,4,20,23,12,1.031,0.3,22.0,23.0,2.0,9.0,7.0,6.0,0.3,0.6,109.0,276.0,0.957,1.0
2022-11-10,1,MED,75.0,61.375,,1,0,6,1,0,8,0,0,6,2,50,58,37,0.963,0.36,58.0,58.0,36.0,24.0,18.0,21.0,0.92,0.74,245.0,113.0,1.0,1.0
2022-11-10,1,SURG,75.0,55.75,,2,1,4,1,0,8,0,0,3,5,40,46,22,0.99,0.45,46.0,46.0,15.0,12.0,15.0,20.0,0.6,0.65,147.0,170.0,1.0,1.0
2022-11-10,2,ED,92.0,55.666666666666664,0.0,6,0,5,1,0,12,0,0,6,6,30,34,59,0.977,0.967,34.0,34.0,32.0,23.0,27.0,31.0,1.833,1.667,231.0,229.0,1.0,1.0
2022-11-10,2,ICU,75.0,56.375,,1,2,5,0,0,8,0,0,4,4,20,23,8,0.968,0.3,23.0,23.0,5.0,3.0,6.0,6.0,0.4,0.3,140.0,119.0,1.0,1.0
